,address_raw,address_clean,latitude,longitude,working_hours,geocoding_quality
0,Россия   Красноярский   Красноярск  Карла Маркса  139,"Красноярск,      Карла Маркса, 139",56.0095853,92.8595552,9:00-20:00,"139, улица Карла Маркса, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
1,ул. Петра Ломако  14,"Красноярск, улица Петра Ломако, 14",56.0526445,92.8913473,9:00-20:00,"14, улица Петра Ломако, Преображенский микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660077, Россия"
2,Проспект Им.Газеты Красноярский Рабочий  119А,"Красноярск, Проспект Имени Газеты Красноярский Рабочий, 119А",55.9980992,92.9177103,9:00-20:00,"119А, проспект имени газеты Красноярский Рабочий, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660010, Россия"
3,ул. Алексеева  115,"Красноярск, улица Алексеева, 115",56.0407984,92.8944861,9:00-20:00,"115, улица Алексеева, Взлётка, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
4,ул. Академгородок  74,"Красноярск, улица Академгородок, 74",55.987347,92.781677,9:00-20:00,"74, улица Академгородок, район Академгородок, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
5,ул. Весны  6,"Красноярск, улица Весны, 6",56.036593,92.9105668,9:00-20:00,"6, улица Весны, Взлётка, 4-ый микрорайон, Взлётка, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660077, Россия"
6,ул. Авиаторов  33,"Красноярск, улица Авиаторов, 33",56.0437007,92.9172245,9:00-20:00,"33, улица Авиаторов, Взлётка, микрорайон БЦ, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660077, Россия"
7,Светлогорская ул.  11А,"Красноярск, Светлогорская улица, 11А",56.0691398,92.9265672,9:00-20:00,"11А, Светлогорская улица, Северный, 3А микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
8,ул. Дубровинского  106,"Красноярск, улица Дубровинского, 106",56.0071501,92.8619696,9:00-20:00,"106, улица Дубровинского, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
9,ул. Мичурина  39,"Красноярск, улица Мичурина, 39",55.9988801,92.9682684,9:00-20:00,"39, улица Мичурина, Кировский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660003, Россия"
10,ул. Шумяцкого  4,"Красноярск, улица Шумяцкого, 4",56.0673713,92.9375386,9:00-20:00,"4, улица Шумяцкого, Северный, 5-й микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
11,Ярыгинская Набережная  5,"Красноярск, Ярыгинская Набережная, 5",55.9880486,92.8680511,9:00-20:00,"5, Ярыгинская набережная, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660012, Россия"
12,ул. Академгородок  12А/1,"Красноярск, улица Академгородок, 12А/1",55.985685,92.75205,9:00-20:00,"12, улица Академгородок, район Академгородок, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
13,ул. Петра Словцова  5,"Красноярск, улица Петра Словцова, 5",56.0252473,92.752325,9:00-20:00,"5, улица Петра Словцова, Ветлужанка, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660130, Россия"
14,ул. Карла Маркса  129,"Красноярск, улица Карла Маркса, 129",56.0098791,92.865491,9:00-20:00,"129, улица Карла Маркса, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660049, Россия"
15,Проспект Им. Газеты Красноярский Рабочий  26,"Красноярск, Проспект Имени  Газеты Красноярский Рабочий, 26",56.021868,93.0082335,9:00-20:00,"Ozon, 26, проспект имени газеты Красноярский Рабочий, Каменный квартал, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660004, Россия"
16,ул. Микуцкого  3,"Красноярск, улица Микуцкого, 3",56.1116878,92.9253497,9:00-20:00,"3, улица Микуцкого, микрорайон Солнечный, Солнечный микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660119, Россия"
17,ул. Ястынская  д. 19Д,"Красноярск, улица Ястынская, 19Д",56.0640723,92.9479786,9:00-20:00,"Лента, 19Д, Ястынская улица, Зелёная роща, 10-й микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660131, Россия"
18,Парусная ул.  8,"Красноярск, Парусная улица, 8",55.9989151,92.9017018,9:00-20:00,"8, Парусная улица, Жилой район «Южный Берег», Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
19,ул. Тельмана  27А,"Красноярск, улица Тельмана, 27А",56.0506845,92.9730662,9:00-20:00,"27А, улица Тельмана, Зеленая роща, 6-ой Микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660111, Россия"
20,2-Я Краснофлотская ул.  9Г,"Красноярск, 2-я Краснофлотская улица, 9Г",56.0267131,93.0105582,9:00-20:00,"9Г, 2-я Краснофлотская улица, Каменный квартал, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
21,ул. Шевченко  44,"Красноярск, улица Шевченко, 44",55.9989533,93.0328065,9:00-20:00,"44, улица Шевченко, Черемушки, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660092, Россия"
22,ул. 60 Лет Октября  84,"Красноярск, улица 60 Лет Октября, 84",55.978266,92.8629893,9:00-20:00,"84, улица 60 лет Октября, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
23,Россия   Красноярский   Красноярск  Калинина  15,"Красноярск,      Калинина, 15",56.0336318,92.82305,9:00-20:00,"15, улица Калинина, Железнодорожный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
24,Светлогорский Переулок  12,"Красноярск, Светлогорский Переулок, 12",56.0593978,92.9021701,9:00-20:00,"12, Светлогорский переулок, Северный, 1-ый микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660125, Россия"
25,2-Я Хабаровская ул.  1Г,"Красноярск, 2-я Хабаровская улица, 1Г",56.0217836,92.7856065,9:00-20:00,"1Г, 2-я Хабаровская улица, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660041, Россия"
26,ул. Урванцева  12,"Красноярск, улица Урванцева, 12",56.060389,92.9249799,9:00-20:00,"12, улица Урванцева, Северный, 6-й микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
27,Полтавская ул.  38/13,"Красноярск, Полтавская улица, 38/13",55.985235,92.8702081,9:00-20:00,"38/13, Полтавская улица, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660012, Россия"
28,Судостроительная ул.  27А,"Красноярск, Судостроительная улица, 27А",55.9822551,92.8286142,9:00-20:00,"27А, Судостроительная улица, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660012, Россия"
29,ул. Академика Павлова  74,"Красноярск, улица Академика Павлова, 74",55.9928933,92.9361625,9:00-20:00,"74, улица Академика Павлова, Кировский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
30,ул. Карамзина  23,"Красноярск, улица Карамзина, 23",55.9873325,92.8549165,9:00-20:00,"23, улица Карамзина, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
31,ул. Елены Стасовой  1,"Красноярск, улица Елены Стасовой, 1",56.0286371,92.7368514,9:00-20:00,"48/1, улица Елены Стасовой, Чистый микрорайон, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
32,ул. Алексеева  д. 109,"Красноярск, улица Алексеева, 109",56.043267,92.8988308,9:00-20:00,"109, улица Алексеева, Взлётка, 2-ой микрорайон, Взлётка, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
33,ул. Апрельская  д. 1,"Красноярск, улица Апрельская, 1",55.9912391,92.987958,9:00-20:00,"1, Апрельская улица, Суворовский, Кировский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660050, Россия"
34,Парашютная ул.  19А,"Красноярск, Парашютная улица, 19А",55.9782509,92.8772692,9:00-20:00,"19А, Парашютная улица, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
35,ул. Шевченко  5,"Красноярск, улица Шевченко, 5",55.9948576,93.0249794,9:00-20:00,"5, улица Шевченко, Черемушки, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660092, Россия"
36,Проспект 60 Лет Образования Ссср  50Г,"Красноярск, Проспект 60 Лет Образования Ссср, 50Г",56.1093686,92.9106658,9:00-20:00,"50Г, проспект 60 лет Образования СССР, 4-й микрорайон, Солнечный микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
37,ул. Быковского  9А,"Красноярск, улица Быковского, 9А",56.0579738,92.9722963,9:00-20:00,"9А, улица Быковского, Зелёная роща, 2-й микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660055, Россия"
38,ул. Партизана Железняка  9А,"Красноярск, улица Партизана Железняка, 9А",56.0307707,92.9189234,9:00-20:00,"9А, улица Партизана Железняка, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
39,Южная Набережная  10,"Красноярск, Южная Набережная, 10",56.0016086,92.9071595,9:00-20:00,"10, Южная набережная, Жилой район «Южный Берег», Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660064, Россия"
